name,price(USD),rating,image,price(NGN)
"SAMSUNG QE55Q60CAUXXU 55"" Smart 4K Ultra HD HDR QLED TV with Bixby & Alexa |New",925.67,95.2,https://i.ebayimg.com/thumbs/images/g/j4YAAOSwI9Blzfcj/s-l140.jpg,1377397
Samsung 50 Inch UE50TU7020 Smart 4K Ultra HD TV With HDR,835.8,100,https://i.ebayimg.com/thumbs/images/g/~rYAAOSwKzdh-r5A/s-l140.jpg,1243670
"For Samsung N5300 32"" LED 1080p Full HD Smart TV (2018)",318.99,96,https://i.ebayimg.com/thumbs/images/g/omMAAOSwQdRmDxP0/s-l140.jpg,474657
Universal Remote Control for Samsung Smart TV BN59-01175N AA59-00603A AA59,12.71,100,https://i.ebayimg.com/thumbs/images/g/2ZUAAOSwMyhmAAGm/s-l140.jpg,18912
Samsung 43 Inch UE43AU7020KXXU Smart 4K UHD HDR LED TV,377.56,100,https://i.ebayimg.com/thumbs/images/g/8UYAAOSwrcFl3Lmz/s-l140.jpg,561809
INSIGNIA 43-inch Class F30 Series LED 4K UHD Smart Fire TV Alexa Voice Remote,389.99,100,https://i.ebayimg.com/thumbs/images/g/wm4AAOSwAI9ln3~h/s-l140.jpg,580305
INSIGNIA 43-inch Class F30 Series LED 4K UHD Smart Fire TV Alexa Voice Remote,389.99,100,https://i.ebayimg.com/thumbs/images/g/t9oAAOSwJexln3~h/s-l140.jpg,580305
Samsung HG50Q60AANF Smart LED-LCD TV HQ60A QLED 4K Hospitality TV with H.Broswer,769.0,96.7,https://i.ebayimg.com/thumbs/images/g/LicAAOSwYvRmDipz/s-l140.jpg,1144272
"Samsung Smart 50"" AU9070 2021 UE50AU9070UXZT U.HD 4K LED TV GA.ITALIA TV",801.15,100,https://i.ebayimg.com/thumbs/images/g/i70AAOSwa59g5tDk/s-l140.jpg,1192111
"Samsung HG43Q60AANFXZA HQ60A 43"" Smart LED-LCD TV - 4K UHDTV - Titan Gray",639.0,96.7,https://i.ebayimg.com/thumbs/images/g/ciQAAOSwzxFmDipz/s-l140.jpg,950832
Samsung 32 Inch Smart LED HD TV w/ Built-in Wi-Fi 2 x HDMI & USB *UN32M4500,390.0,0,https://i.ebayimg.com/thumbs/images/g/b1wAAOSw1-5bE8PE/s-l140.jpg,580320
"For Samsung N5300 32"" LED 1080p Full HD Smart TV (2018)",318.99,94.6,https://i.ebayimg.com/thumbs/images/g/1z8AAOSwUnhmDw77/s-l140.jpg,474657
Samsung 32 Inch UE32T4307 Smart HD Ready HDR LED TV,385.54,100,https://i.ebayimg.com/thumbs/images/g/Pn0AAOSwJEpgcjuk/s-l140.jpg,573684
"For Samsung N5300 32"" LED 1080p Full HD Smart TV (2018)",315.99,94.2,https://i.ebayimg.com/thumbs/images/g/8B4AAOSwtLRmNAbz/s-l140.jpg,470193
"NEW Insignia™ - 42"" Class F30 Series LED 4K UHD Smart Fire TV I SEALED",489.96,100,https://i.ebayimg.com/thumbs/images/g/o1gAAOSwTi5lFPeA/s-l140.jpg,729060
"Samsung 75"" QN900D Neo QLED 8K Smart TV",641.45,97.5,https://i.ebayimg.com/thumbs/images/g/5OUAAOSwWIZmRYb7/s-l140.jpg,954478
INSIGNIA 43” Class F30 Series LED 4K UHD Smart Fire TV  with Alexa Voice Remote,449.95,100,https://i.ebayimg.com/thumbs/images/g/m6wAAOSwfUdlFO~c/s-l140.jpg,669526
Geniune OEM(2 Sets)TV Samsung 32In Stand/Legs Base Screws New In Packaging,22.5,100,https://i.ebayimg.com/thumbs/images/g/yboAAOSwD19lIe-d/s-l140.jpg,33480
All-New 24-inch Class F20 Series Smart HD 720p Fire TV NS-24F201NA23,219.99,100,https://i.ebayimg.com/thumbs/images/g/qJgAAOSwVfJhBOdh/s-l140.jpg,327345
"samsung 24 inch Smart tv, Used But In Very Good Condition, Works Great!",25.0,97.9,https://i.ebayimg.com/thumbs/images/g/j0MAAOSweShmaMEv/s-l140.jpg,37200
"New ListingSamsung UN19F4000AF 19"" LED HDTV TV 720p HDMI (Digital Tuner) With Remote",59.99,98,https://i.ebayimg.com/thumbs/images/g/MHUAAOSwFldmeLxH/s-l140.jpg,89265
